Màn chơi (Map),Thuật toán (Algorithm),Trạng thái,Thời gian xử lý (ms),Số nút đã duyệt (States Generated),Bộ nhớ hàng đợi (Memory In Queue),Tổng số bước giải (Steps)
level28.txt,BFS Solver,Thành công,1430.54,763159.0,0.0,40.0
level28.txt,A* Standard,Lỗi: video system not initialized,,,,
level28.txt,Push-based A*,Thành công,171.91,375.0,0.0,48.0
level29.txt,BFS Solver,Thành công,256.89,129594.0,0.0,41.0
level29.txt,A* Standard,Lỗi: video system not initialized,,,,
level29.txt,Push-based A*,Thành công,23.36,110.0,0.0,63.0
level30.txt,BFS Solver,Thành công,1.03,792.0,0.0,9.0
level30.txt,A* Standard,Thành công,1.84,75.0,0.0,9.0
level30.txt,Push-based A*,Thành công,1.38,8.0,0.0,12.0
level31.txt,BFS Solver,Thành công,8.2,5681.0,0.0,29.0
level31.txt,A* Standard,Lỗi: video system not initialized,,,,
level31.txt,Push-based A*,Thành công,11.91,51.0,0.0,44.0
level32.txt,BFS Solver,Thành công,1.85,1745.0,0.0,18.0
level32.txt,A* Standard,Thành công,5.54,294.0,0.0,18.0
level32.txt,Push-based A*,Thành công,1.07,6.0,0.0,20.0
level33.txt,BFS Solver,Thành công,2305.74,911842.0,0.0,43.0
level33.txt,A* Standard,Lỗi: video system not initialized,,,,
level33.txt,Push-based A*,Lỗi: video system not initialized,,,,
level34.txt,BFS Solver,Thành công,72.33,46822.0,0.0,37.0
level34.txt,A* Standard,Lỗi: video system not initialized,,,,
level34.txt,Push-based A*,Thành công,39.31,126.0,0.0,59.0
level35.txt,BFS Solver,Quá tải (Timeout),,,,
level35.txt,A* Standard,Lỗi: video system not initialized,,,,
level35.txt,Push-based A*,Thành công,229.01,442.0,0.0,137.0
level36.txt,BFS Solver,Thành công,4.19,3566.0,0.0,20.0
level36.txt,A* Standard,Thành công,9.57,437.0,0.0,20.0
level36.txt,Push-based A*,Thành công,3.15,12.0,0.0,20.0
level37.txt,BFS Solver,Quá tải (Timeout),,,,
level37.txt,A* Standard,Lỗi: video system not initialized,,,,
level37.txt,Push-based A*,Lỗi: video system not initialized,,,,
level38.txt,BFS Solver,Thành công,342.18,165218.0,0.0,49.0
level38.txt,A* Standard,Lỗi: video system not initialized,,,,
level38.txt,Push-based A*,Thành công,155.23,420.0,0.0,102.0
level39.txt,BFS Solver,Thành công,140.18,69830.0,0.0,38.0
level39.txt,A* Standard,Lỗi: video system not initialized,,,,
level39.txt,Push-based A*,Thành công,43.39,108.0,0.0,50.0
level40.txt,BFS Solver,Thành công,24.19,17018.0,0.0,30.0
level40.txt,A* Standard,Lỗi: video system not initialized,,,,
level40.txt,Push-based A*,Thành công,20.03,66.0,0.0,81.0
level41.txt,BFS Solver,Quá tải (Timeout),,,,
level41.txt,A* Standard,Lỗi: video system not initialized,,,,
level41.txt,Push-based A*,Lỗi: video system not initialized,,,,
level42.txt,BFS Solver,Thành công,206.94,119055.0,0.0,35.0
level42.txt,A* Standard,Lỗi: video system not initialized,,,,
level42.txt,Push-based A*,Thành công,84.23,195.0,0.0,63.0
level43.txt,BFS Solver,Thành công,24.91,13867.0,0.0,16.0
level43.txt,A* Standard,Thành công,20.85,550.0,0.0,16.0
level43.txt,Push-based A*,Thành công,12.51,62.0,0.0,20.0
level44.txt,BFS Solver,Quá tải (Timeout),,,,
level44.txt,A* Standard,Lỗi: video system not initialized,,,,
level44.txt,Push-based A*,Lỗi: video system not initialized,,,,
